Benchmark tenure,"
",Benchmark name,"
",Benchmark rate p.a.,"
",Date
Overnight,"
",I-MCLR-ON,"
",9.00%,"
",2023-05-24
One month,"
",I-MCLR-1M,"
",9.00%,"
",2023-05-24
Three months,"
",I-MCLR-3M,"
",9.10%,"
",2023-05-24
Six months,"
",I-MCLR-6M,"
",9.15%,"
",2023-05-24
One year,"
",I-MCLR-1Y,"
",9.20%,"
",2023-05-24
